missionId,missionName,missionDescription,missionOrigin,missionAllowedCountries,coordinatorName,coordinatorEmail,coordinatorPhone,jobNames,jobDescriptions,missionLaunchDate,missionDuration (in months),location,cargo for,titles,numbers,missionStatus,candidates,shuttleId
7003,First Mission 2020,The first mission to Mars in 2020,Austria,"Australia, United States, China, United Kingdom",James Bond,JamesBond@gmail.com,123456789,Mars Health Center Project,Construct a health center.,2001/1/20,20,the new mars,mission,"builder, designer","10, 3",Planning phase,,
7006,Mars contruction,constructs infrastructures on Mars,Austria,"Australia, United States, China",James Bond,JamesBond@gmail.com,123456789,railway construction,construct railways,2028/10/22,12,the new mars,mission,designer,5,Planning phase,,
7010,Mars contruction 2,constructs infrastructures on Mars,China,China,Ming Liu,Mingliu123@gmail.com,14576912432,road construction,construct roads,2010/10/20,35,the new mars,mission,"builder, designer","20,5",Planning phase,,
7035,Mars contruction 3,constructs infrastructures on Mars,United States,"Australia, United States, China, United Kingdom",John Snow,John Snow123@gmail.com,439756324,house construction,build houses for living,2009/12/21,50,the new mars,mission,"builder, designer","50,20",Planning phase,,
7037,agriculture on Mars,research on developing agriculture on Mars,United States,"Australia, United States, China, United Kingdom",John Snow,John Snow123@gmail.com,439756324,agriculture,produce food,20//12/2020,80,the new mars,mission,farmer,30,Planning phase,,
7128,medical treatment on Mars,heal the sick on Mars,Italy,"Australia, United States, China, United Kingdom",Hannah Lee,Hannah.Lee@gmail.com,439756357,medical treatmemt,heal the sick,2020/7/8,20,the new mars,mission,doctor,50,Planning phase,,
7129,educate on Mars,teaching on Mars,China,"Australia, United States, China, United Kingdom",Keely Logan,Keely.Logan@gmail.com,439756378,education,teaching,2020/8/9,12,the new mars,mission,teacher,80,Planning phase,,
7130,medical treatment on Mars,heal the sick on Mars,Austria,"Australia, United States, China, United Kingdom",Breanna Christensen,Breanna.Christensen@gmail.com,439756389,medical treatmemt,teeth care,2020/8/10,35,the new mars,mission,dentist,50,Planning phase,,
7135,educate on Mars,teaching on Mars,Japan,"Australia, United States, China, United Kingdom",Lois Cotton,Lois.Cotton@gmail.com,439756309,education,teaching,2020/7/9,50,the new mars,mission,teacher,40,Planning phase,,
7180,agriculture on Mars,manage garden on Mars,Korea,"Australia, United States, China, United Kingdom",Kirby Maynard,Kirby.Maynard@gmail.com,439756377,agriculture,manage garden ,2020/9/8,80,the new mars,mission,gardener,20,Planning phase,,
7200,agriculture on Mars,protect forest on Mars,singapore,"Australia, United States, China, United Kingdom",Carla Espinoza,Carla.Espinoza@gmail.com,439756388,agriculture,protect forest,2020/9/9,20,the new mars,mission,forest ranger,20,Planning phase,,
7211,medical treatment on Mars,heal the sick on Mars,China,"Australia, United States, China, United Kingdom",Candace Lucas,Candace.Lucas@gmail.com,439756399,medical treatmemt,heal the sick,2020/7/23,12,the new mars,mission,doctor,50,Planning phase,,
7232,Mars contruction 4,constructs infrastructures on Mars,Italy,"Australia, United States, China, United Kingdom",Jaden Callahan,Jaden.Callahan@gmail.com,439756300,building construction,construct buildings,2020/7/4,35,the new mars,mission,builder,10,Planning phase,,
7233,selling on Mars,sale goods on Mars,Italy,"Australia, United States, China, United Kingdom",Cameron Rivers,Cameron.Rivers@gmail.com,439756365,sales profession,sale goods,2020/12/8,50,the new mars,mission,sales,20,Planning phase,,
7250,agriculture on Mars,produce flower on Mars,singapore,"Australia, United States, China, United Kingdom",Holly Welch,Holly.Welch@gmail.com,439756305,agriculture,produce flower,2020/11/8,80,the new mars,mission,farmer,30,Planning phase,,
7251,agriculture on Mars,produce food on Mars,singapore,"Australia, United States, China, United Kingdom",TaShya Dean,TaShya.Dean@gmail.com,439756345,agriculture,produce food,2020/10/4,80,the new mars,mission,farmer,10,Planning phase,,
